        9553	THH
-11.748900      11.748900      15.665200
 -9.790750      13.707050      15.665200
 -7.832600      11.748900      15.665200
 -5.874450      13.707050      15.665200
 -3.916300      11.748900      15.665200
 -1.958150      13.707050      15.665200
  0.000000      11.748900      15.665200
  1.958150      13.707050      15.665200
  3.916300      11.748900      15.665200
  5.874450      13.707050      15.665200
  7.832600      11.748900      15.665200
  9.790750      13.707050      15.665200
 11.748900      11.748900      15.665200
 13.707050      13.707050      15.665200
 15.665200      11.748900      15.665200
 17.623350      13.707050      15.665200
 19.581500      11.748900      15.665200
 21.539650      13.707050      15.665200
 23.497800      11.748900      15.665200
 25.455950      13.707050      15.665200
-25.455950      17.623350      15.665200
-23.497800      15.665200      15.665200
-21.539650      17.623350      15.665200
-19.581500      15.665200      15.665200
-17.623350      17.623350      15.665200
-15.665200      15.665200      15.665200
-13.707050      17.623350      15.665200
-11.748900      15.665200      15.665200
 -9.790750      17.623350      15.665200
 -7.832600      15.665200      15.665200
 -5.874450      17.623350      15.665200
 -3.916300      15.665200      15.665200
 -1.958150      17.623350      15.665200
  0.000000      15.665200      15.665200
  1.958150      17.623350      15.665200
  3.916300      15.665200      15.665200
  5.874450      17.623350      15.665200
  7.832600      15.665200      15.665200
  9.790750      17.623350      15.665200
 11.748900      15.665200      15.665200
 13.707050      17.623350      15.665200
 15.665200      15.665200      15.665200
 17.623350      17.623350      15.665200
 19.581500      15.665200      15.665200
 21.539650      17.623350      15.665200
 23.497800      15.665200      15.665200
 25.455950      17.623350      15.665200
-23.497800      19.581500      15.665200
-21.539650      21.539650      15.665200
-19.581500      19.581500      15.665200
-17.623350      21.539650      15.665200
-15.665200      19.581500      15.665200
-13.707050      21.539650      15.665200
-11.748900      19.581500      15.665200
 -9.790750      21.539650      15.665200
 -7.832600      19.581500      15.665200
 -5.874450      21.539650      15.665200
 -3.916300      19.581500      15.665200
 -1.958150      21.539650      15.665200
  0.000000      19.581500      15.665200
  1.958150      21.539650      15.665200
  3.916300      19.581500      15.665200
  5.874450      21.539650      15.665200
  7.832600      19.581500      15.665200
  9.790750      21.539650      15.665200
 11.748900      19.581500      15.665200
 13.707050      21.539650      15.665200
 15.665200      19.581500      15.665200
 17.623350      21.539650      15.665200
 19.581500      19.581500      15.665200
 21.539650      21.539650      15.665200
 23.497800      19.581500      15.665200
-23.497800      23.497800      15.665200
-19.581500      23.497800      15.665200
-17.623350      25.455950      15.665200
-15.665200      23.497800      15.665200
-13.707050      25.455950      15.665200
-11.748900      23.497800      15.665200
 -9.790750      25.455950      15.665200
 -7.832600      23.497800      15.665200
 -5.874450      25.455950      15.665200
 -3.916300      23.497800      15.665200
 -1.958150      25.455950      15.665200
  0.000000      23.497800      15.665200
  1.958150      25.455950      15.665200
  3.916300      23.497800      15.665200
  5.874450      25.455950      15.665200
  7.832600      23.497800      15.665200
  9.790750      25.455950      15.665200
 11.748900      23.497800      15.665200
 13.707050      25.455950      15.665200
 15.665200      23.497800      15.665200
 17.623350      25.455950      15.665200
 19.581500      23.497800      15.665200
 23.497800      23.497800      15.665200
-23.497800     -23.497800      19.581500
-21.539650     -21.539650      19.581500
-19.581500     -23.497800      19.581500
-17.623350     -21.539650      19.581500
-15.665200     -23.497800      19.581500
-13.707050     -21.539650      19.581500
-11.748900     -23.497800      19.581500
 -9.790750     -21.539650      19.581500
 -7.832600     -23.497800      19.581500
 -5.874450     -21.539650      19.581500
 -3.916300     -23.497800      19.581500
 -1.958150     -21.539650      19.581500
  0.000000     -23.497800      19.581500
  1.958150     -21.539650      19.581500
  3.916300     -23.497800      19.581500
  5.874450     -21.539650      19.581500
  7.832600     -23.497800      19.581500
  9.790750     -21.539650      19.581500
 11.748900     -23.497800      19.581500
 13.707050     -21.539650      19.581500
 15.665200     -23.497800      19.581500
 17.623350     -21.539650      19.581500
 19.581500     -23.497800      19.581500
 21.539650     -21.539650      19.581500
 23.497800     -23.497800      19.581500
-23.497800     -19.581500      19.581500
-21.539650     -17.623350      19.581500
-19.581500     -19.581500      19.581500
-17.623350     -17.623350      19.581500
-15.665200     -19.581500      19.581500
-13.707050     -17.623350      19.581500
-11.748900     -19.581500      19.581500
 -9.790750     -17.623350      19.581500
 -7.832600     -19.581500      19.581500
 -5.874450     -17.623350      19.581500
 -3.916300     -19.581500      19.581500
 -1.958150     -17.623350      19.581500
  0.000000     -19.581500      19.581500
  1.958150     -17.623350      19.581500
  3.916300     -19.581500      19.581500
  5.874450     -17.623350      19.581500
  7.832600     -19.581500      19.581500
  9.790750     -17.623350      19.581500
 11.748900     -19.581500      19.581500
 13.707050     -17.623350      19.581500
 15.665200     -19.581500      19.581500
 17.623350     -17.623350      19.581500
 19.581500     -19.581500      19.581500
 21.539650     -17.623350      19.581500
 23.497800     -19.581500      19.581500
-23.497800     -15.665200      19.581500
-21.539650     -13.707050      19.581500
-19.581500     -15.665200      19.581500
-17.623350     -13.707050      19.581500
-15.665200     -15.665200      19.581500
-13.707050     -13.707050      19.581500
-11.748900     -15.665200      19.581500
 -9.790750     -13.707050      19.581500
 -7.832600     -15.665200      19.581500
 -5.874450     -13.707050      19.581500
 -3.916300     -15.665200      19.581500
 -1.958150     -13.707050      19.581500
  0.000000     -15.665200      19.581500
  1.958150     -13.707050      19.581500
  3.916300     -15.665200      19.581500
  5.874450     -13.707050      19.581500
  7.832600     -15.665200      19.581500
  9.790750     -13.707050      19.581500
 11.748900     -15.665200      19.581500
 13.707050     -13.707050      19.581500
 15.665200     -15.665200      19.581500
 17.623350     -13.707050      19.581500
 19.581500     -15.665200      19.581500
 21.539650     -13.707050      19.581500
 23.497800     -15.665200      19.581500
-23.497800     -11.748900      19.581500
-21.539650      -9.790750      19.581500
-19.581500     -11.748900      19.581500
-17.623350      -9.790750      19.581500
-15.665200     -11.748900      19.581500
-13.707050      -9.790750      19.581500
-11.748900     -11.748900      19.581500
 -9.790750      -9.790750      19.581500
 -7.832600     -11.748900      19.581500
 -5.874450      -9.790750      19.581500
 -3.916300     -11.748900      19.581500
 -1.958150      -9.790750      19.581500
  0.000000     -11.748900      19.581500
  1.958150      -9.790750      19.581500
  3.916300     -11.748900      19.581500
  5.874450      -9.790750      19.581500
  7.832600     -11.748900      19.581500
  9.790750      -9.790750      19.581500
 11.748900     -11.748900      19.581500
 13.707050      -9.790750      19.581500
 15.665200     -11.748900      19.581500
 17.623350      -9.790750      19.581500
 19.581500     -11.748900      19.581500
 21.539650      -9.790750      19.581500
 23.497800     -11.748900      19.581500
-23.497800      -7.832600      19.581500
-21.539650      -5.874450      19.581500
-19.581500      -7.832600      19.581500
-17.623350      -5.874450      19.581500
-15.665200      -7.832600      19.581500
-13.707050      -5.874450      19.581500
-11.748900      -7.832600      19.581500
 -9.790750      -5.874450      19.581500
 -7.832600      -7.832600      19.581500
 -5.874450      -5.874450      19.581500
 -3.916300      -7.832600      19.581500
 -1.958150      -5.874450      19.581500
  0.000000      -7.832600      19.581500
  1.958150      -5.874450      19.581500
  3.916300      -7.832600      19.581500
  5.874450      -5.874450      19.581500
  7.832600      -7.832600      19.581500
  9.790750      -5.874450      19.581500
 11.748900      -7.832600      19.581500
 13.707050      -5.874450      19.581500
 15.665200      -7.832600      19.581500
 17.623350      -5.874450      19.581500
 19.581500      -7.832600      19.581500
 21.539650      -5.874450      19.581500
 23.497800      -7.832600      19.581500
-23.497800      -3.916300      19.581500
-21.539650      -1.958150      19.581500
-19.581500      -3.916300      19.581500
-17.623350      -1.958150      19.581500
-15.665200      -3.916300      19.581500
-13.707050      -1.958150      19.581500
-11.748900      -3.916300      19.581500
 -9.790750      -1.958150      19.581500
 -7.832600      -3.916300      19.581500
 -5.874450      -1.958150      19.581500
 -3.916300      -3.916300      19.581500
 -1.958150      -1.958150      19.581500
  0.000000      -3.916300      19.581500
  1.958150      -1.958150      19.581500
  3.916300      -3.916300      19.581500
  5.874450      -1.958150      19.581500
  7.832600      -3.916300      19.581500
  9.790750      -1.958150      19.581500
 11.748900      -3.916300      19.581500
 13.707050      -1.958150      19.581500
 15.665200      -3.916300      19.581500
 17.623350      -1.958150      19.581500
 19.581500      -3.916300      19.581500
 21.539650      -1.958150      19.581500
 23.497800      -3.916300      19.581500
-23.497800       0.000000      19.581500
-21.539650       1.958150      19.581500
-19.581500       0.000000      19.581500
-17.623350       1.958150      19.581500
-15.665200       0.000000      19.581500
-13.707050       1.958150      19.581500
-11.748900       0.000000      19.581500
 -9.790750       1.958150      19.581500
 -7.832600       0.000000      19.581500
 -5.874450       1.958150      19.581500
 -3.916300       0.000000      19.581500
 -1.958150       1.958150      19.581500
  0.000000       0.000000      19.581500
  1.958150       1.958150      19.581500
  3.916300       0.000000      19.581500
  5.874450       1.958150      19.581500
  7.832600       0.000000      19.581500
  9.790750       1.958150      19.581500
 11.748900       0.000000      19.581500
 13.707050       1.958150      19.581500
 15.665200       0.000000      19.581500
 17.623350       1.958150      19.581500
 19.581500       0.000000      19.581500
 21.539650       1.958150      19.581500
 23.497800       0.000000      19.581500
-23.497800       3.916300      19.581500
-21.539650       5.874450      19.581500
-19.581500       3.916300      19.581500
-17.623350       5.874450      19.581500
-15.665200       3.916300      19.581500
-13.707050       5.874450      19.581500
-11.748900       3.916300      19.581500
 -9.790750       5.874450      19.581500
 -7.832600       3.916300      19.581500
 -5.874450       5.874450      19.581500
 -3.916300       3.916300      19.581500
 -1.958150       5.874450      19.581500
  0.000000       3.916300      19.581500
  1.958150       5.874450      19.581500
  3.916300       3.916300      19.581500
  5.874450       5.874450      19.581500
  7.832600       3.916300      19.581500
  9.790750       5.874450      19.581500
 11.748900       3.916300      19.581500
 13.707050       5.874450      19.581500
 15.665200       3.916300      19.581500
 17.623350       5.874450      19.581500
 19.581500       3.916300      19.581500
 21.539650       5.874450      19.581500
 23.497800       3.916300      19.581500
-23.497800       7.832600      19.581500
-21.539650       9.790750      19.581500
-19.581500       7.832600      19.581500
-17.623350       9.790750      19.581500
-15.665200       7.832600      19.581500
-13.707050       9.790750      19.581500
-11.748900       7.832600      19.581500
 -9.790750       9.790750      19.581500
 -7.832600       7.832600      19.581500
 -5.874450       9.790750      19.581500
 -3.916300       7.832600      19.581500
 -1.958150       9.790750      19.581500
  0.000000       7.832600      19.581500
  1.958150       9.790750      19.581500
  3.916300       7.832600      19.581500
  5.874450       9.790750      19.581500
  7.832600       7.832600      19.581500
  9.790750       9.790750      19.581500
 11.748900       7.832600      19.581500
 13.707050       9.790750      19.581500
 15.665200       7.832600      19.581500
 17.623350       9.790750      19.581500
 19.581500       7.832600      19.581500
 21.539650       9.790750      19.581500
 23.497800       7.832600      19.581500
-23.497800      11.748900      19.581500
-21.539650      13.707050      19.581500
-19.581500      11.748900      19.581500
-17.623350      13.707050      19.581500
-15.665200      11.748900      19.581500
-13.707050      13.707050      19.581500
-11.748900      11.748900      19.581500
 -9.790750      13.707050      19.581500
 -7.832600      11.748900      19.581500
 -5.874450      13.707050      19.581500
 -3.916300      11.748900      19.581500
 -1.958150      13.707050      19.581500
  0.000000      11.748900      19.581500
  1.958150      13.707050      19.581500
  3.916300      11.748900      19.581500
  5.874450      13.707050      19.581500
  7.832600      11.748900      19.581500
  9.790750      13.707050      19.581500
 11.748900      11.748900      19.581500
 13.707050      13.707050      19.581500
 15.665200      11.748900      19.581500
 17.623350      13.707050      19.581500
 19.581500      11.748900      19.581500
 21.539650      13.707050      19.581500
 23.497800      11.748900      19.581500
-23.497800      15.665200      19.581500
-21.539650      17.623350      19.581500
-19.581500      15.665200      19.581500
-17.623350      17.623350      19.581500
-15.665200      15.665200      19.581500
-13.707050      17.623350      19.581500
-11.748900      15.665200      19.581500
 -9.790750      17.623350      19.581500
 -7.832600      15.665200      19.581500
 -5.874450      17.623350      19.581500
 -3.916300      15.665200      19.581500
 -1.958150      17.623350      19.581500
  0.000000      15.665200      19.581500
  1.958150      17.623350      19.581500
  3.916300      15.665200      19.581500
  5.874450      17.623350      19.581500
  7.832600      15.665200      19.581500
  9.790750      17.623350      19.581500
 11.748900      15.665200      19.581500
 13.707050      17.623350      19.581500
 15.665200      15.665200      19.581500
 17.623350      17.623350      19.581500
 19.581500      15.665200      19.581500
 21.539650      17.623350      19.581500
 23.497800      15.665200      19.581500
-23.497800      19.581500      19.581500
-21.539650      21.539650      19.581500
-19.581500      19.581500      19.581500
-17.623350      21.539650      19.581500
-15.665200      19.581500      19.581500
-13.707050      21.539650      19.581500
-11.748900      19.581500      19.581500
 -9.790750      21.539650      19.581500
 -7.832600      19.581500      19.581500
 -5.874450      21.539650      19.581500
 -3.916300      19.581500      19.581500
 -1.958150      21.539650      19.581500
  0.000000      19.581500      19.581500
  1.958150      21.539650      19.581500
  3.916300      19.581500      19.581500
  5.874450      21.539650      19.581500
  7.832600      19.581500      19.581500
  9.790750      21.539650      19.581500
 11.748900      19.581500      19.581500
 13.707050      21.539650      19.581500
 15.665200      19.581500      19.581500
 17.623350      21.539650      19.581500
 19.581500      19.581500      19.581500
 21.539650      21.539650      19.581500
 23.497800      19.581500      19.581500
-23.497800      23.497800      19.581500
-19.581500      23.497800      19.581500
-15.665200      23.497800      19.581500
-11.748900      23.497800      19.581500
 -7.832600      23.497800      19.581500
 -3.916300      23.497800      19.581500
  0.000000      23.497800      19.581500
  3.916300      23.497800      19.581500
  7.832600      23.497800      19.581500
 11.748900      23.497800      19.581500
 15.665200      23.497800      19.581500
 19.581500      23.497800      19.581500
 23.497800      23.497800      19.581500
-23.497800     -23.497800      23.497800
-21.539650     -21.539650      23.497800
-19.581500     -23.497800      23.497800
-17.623350     -21.539650      23.497800
-15.665200     -23.497800      23.497800
-13.707050     -21.539650      23.497800
-11.748900     -23.497800      23.497800
 -9.790750     -21.539650      23.497800
 -7.832600     -23.497800      23.497800
 -5.874450     -21.539650      23.497800
 -3.916300     -23.497800      23.497800
 -1.958150     -21.539650      23.497800
  0.000000     -23.497800      23.497800
  1.958150     -21.539650      23.497800
  3.916300     -23.497800      23.497800
  5.874450     -21.539650      23.497800
  7.832600     -23.497800      23.497800
  9.790750     -21.539650      23.497800
 11.748900     -23.497800      23.497800
 13.707050     -21.539650      23.497800
 15.665200     -23.497800      23.497800
 17.623350     -21.539650      23.497800
 19.581500     -23.497800      23.497800
 21.539650     -21.539650      23.497800
 23.497800     -23.497800      23.497800
-23.497800     -19.581500      23.497800
-21.539650     -17.623350      23.497800
-19.581500     -19.581500      23.497800
-17.623350     -17.623350      23.497800
-15.665200     -19.581500      23.497800
-13.707050     -17.623350      23.497800
-11.748900     -19.581500      23.497800
 -9.790750     -17.623350      23.497800
 -7.832600     -19.581500      23.497800
 -5.874450     -17.623350      23.497800
 -3.916300     -19.581500      23.497800
 -1.958150     -17.623350      23.497800
  0.000000     -19.581500      23.497800
  1.958150     -17.623350      23.497800
  3.916300     -19.581500      23.497800
  5.874450     -17.623350      23.497800
  7.832600     -19.581500      23.497800
  9.790750     -17.623350      23.497800
 11.748900     -19.581500      23.497800
 13.707050     -17.623350      23.497800
 15.665200     -19.581500      23.497800
 17.623350     -17.623350      23.497800
 19.581500     -19.581500      23.497800
 21.539650     -17.623350      23.497800
 23.497800     -19.581500      23.497800
-23.497800     -15.665200      23.497800
-21.539650     -13.707050      23.497800
-19.581500     -15.665200      23.497800
-17.623350     -13.707050      23.497800
-15.665200     -15.665200      23.497800
-13.707050     -13.707050      23.497800
-11.748900     -15.665200      23.497800
 -9.790750     -13.707050      23.497800
 -7.832600     -15.665200      23.497800
 -5.874450     -13.707050      23.497800
 -3.916300     -15.665200      23.497800
 -1.958150     -13.707050      23.497800
  0.000000     -15.665200      23.497800
  1.958150     -13.707050      23.497800
  3.916300     -15.665200      23.497800
  5.874450     -13.707050      23.497800
  7.832600     -15.665200      23.497800
  9.790750     -13.707050      23.497800
 11.748900     -15.665200      23.497800
 13.707050     -13.707050      23.497800
 15.665200     -15.665200      23.497800
 17.623350     -13.707050      23.497800
 19.581500     -15.665200      23.497800
 21.539650     -13.707050      23.497800
 23.497800     -15.665200      23.497800
-23.497800     -11.748900      23.497800
-21.539650      -9.790750      23.497800
-19.581500     -11.748900      23.497800
-17.623350      -9.790750      23.497800
-15.665200     -11.748900      23.497800
-13.707050      -9.790750      23.497800
-11.748900     -11.748900      23.497800
 -9.790750      -9.790750      23.497800
 -7.832600     -11.748900      23.497800
 -5.874450      -9.790750      23.497800
 -3.916300     -11.748900      23.497800
 -1.958150      -9.790750      23.497800
  0.000000     -11.748900      23.497800
  1.958150      -9.790750      23.497800
  3.916300     -11.748900      23.497800
  5.874450      -9.790750      23.497800
  7.832600     -11.748900      23.497800
  9.790750      -9.790750      23.497800
 11.748900     -11.748900      23.497800
 13.707050      -9.790750      23.497800
 15.665200     -11.748900      23.497800
 17.623350      -9.790750      23.497800
 19.581500     -11.748900      23.497800
 21.539650      -9.790750      23.497800
 23.497800     -11.748900      23.497800
-23.497800      -7.832600      23.497800
-21.539650      -5.874450      23.497800
-19.581500      -7.832600      23.497800
-17.623350      -5.874450      23.497800
-15.665200      -7.832600      23.497800
-13.707050      -5.874450      23.497800
-11.748900      -7.832600      23.497800
 -9.790750      -5.874450      23.497800
 -7.832600      -7.832600      23.497800
 -5.874450      -5.874450      23.497800
 -3.916300      -7.832600      23.497800
 -1.958150      -5.874450      23.497800
  0.000000      -7.832600      23.497800
  1.958150      -5.874450      23.497800
  3.916300      -7.832600      23.497800
  5.874450      -5.874450      23.497800
  7.832600      -7.832600      23.497800
  9.790750      -5.874450      23.497800
 11.748900      -7.832600      23.497800
 13.707050      -5.874450      23.497800
 15.665200      -7.832600      23.497800
 17.623350      -5.874450      23.497800
 19.581500      -7.832600      23.497800
 21.539650      -5.874450      23.497800
 23.497800      -7.832600      23.497800
-23.497800      -3.916300      23.497800
-21.539650      -1.958150      23.497800
-19.581500      -3.916300      23.497800
-17.623350      -1.958150      23.497800
-15.665200      -3.916300      23.497800
-13.707050      -1.958150      23.497800
-11.748900      -3.916300      23.497800
 -9.790750      -1.958150      23.497800
 -7.832600      -3.916300      23.497800
 -5.874450      -1.958150      23.497800
 -3.916300      -3.916300      23.497800
 -1.958150      -1.958150      23.497800
  0.000000      -3.916300      23.497800
  1.958150      -1.958150      23.497800
  3.916300      -3.916300      23.497800
  5.874450      -1.958150      23.497800
  7.832600      -3.916300      23.497800
  9.790750      -1.958150      23.497800
 11.748900      -3.916300      23.497800
 13.707050      -1.958150      23.497800
 15.665200      -3.916300      23.497800
 17.623350      -1.958150      23.497800
 19.581500      -3.916300      23.497800
 21.539650      -1.958150      23.497800
 23.497800      -3.916300      23.497800
-23.497800       0.000000      23.497800
-21.539650       1.958150      23.497800
-19.581500       0.000000      23.497800
-17.623350       1.958150      23.497800
-15.665200       0.000000      23.497800
-13.707050       1.958150      23.497800
-11.748900       0.000000      23.497800
 -9.790750       1.958150      23.497800
 -7.832600       0.000000      23.497800
 -5.874450       1.958150      23.497800
 -3.916300       0.000000      23.497800
 -1.958150       1.958150      23.497800
  0.000000       0.000000      23.497800
  1.958150       1.958150      23.497800
  3.916300       0.000000      23.497800
  5.874450       1.958150      23.497800
  7.832600       0.000000      23.497800
  9.790750       1.958150      23.497800
 11.748900       0.000000      23.497800
 13.707050       1.958150      23.497800
 15.665200       0.000000      23.497800
 17.623350       1.958150      23.497800
 19.581500       0.000000      23.497800
 21.539650       1.958150      23.497800
 23.497800       0.000000      23.497800
-23.497800       3.916300      23.497800
-21.539650       5.874450      23.497800
-19.581500       3.916300      23.497800
-17.623350       5.874450      23.497800
-15.665200       3.916300      23.497800
-13.707050       5.874450      23.497800
-11.748900       3.916300      23.497800
 -9.790750       5.874450      23.497800
 -7.832600       3.916300      23.497800
 -5.874450       5.874450      23.497800
 -3.916300       3.916300      23.497800
 -1.958150       5.874450      23.497800
  0.000000       3.916300      23.497800
  1.958150       5.874450      23.497800
  3.916300       3.916300      23.497800
  5.874450       5.874450      23.497800
  7.832600       3.916300      23.497800
  9.790750       5.874450      23.497800
 11.748900       3.916300      23.497800
 13.707050       5.874450      23.497800
 15.665200       3.916300      23.497800
 17.623350       5.874450      23.497800
 19.581500       3.916300      23.497800
 21.539650       5.874450      23.497800
 23.497800       3.916300      23.497800
-23.497800       7.832600      23.497800
-21.539650       9.790750      23.497800
-19.581500       7.832600      23.497800
-17.623350       9.790750      23.497800
-15.665200       7.832600      23.497800
-13.707050       9.790750      23.497800
-11.748900       7.832600      23.497800
 -9.790750       9.790750      23.497800
 -7.832600       7.832600      23.497800
 -5.874450       9.790750      23.497800
 -3.916300       7.832600      23.497800
 -1.958150       9.790750      23.497800
  0.000000       7.832600      23.497800
  1.958150       9.790750      23.497800
  3.916300       7.832600      23.497800
  5.874450       9.790750      23.497800
  7.832600       7.832600      23.497800
  9.790750       9.790750      23.497800
 11.748900       7.832600      23.497800
 13.707050       9.790750      23.497800
 15.665200       7.832600      23.497800
 17.623350       9.790750      23.497800
 19.581500       7.832600      23.497800
 21.539650       9.790750      23.497800
 23.497800       7.832600      23.497800
-23.497800      11.748900      23.497800
-21.539650      13.707050      23.497800
-19.581500      11.748900      23.497800
-17.623350      13.707050      23.497800
-15.665200      11.748900      23.497800
-13.707050      13.707050      23.497800
-11.748900      11.748900      23.497800
 -9.790750      13.707050      23.497800
 -7.832600      11.748900      23.497800
 -5.874450      13.707050      23.497800
 -3.916300      11.748900      23.497800
 -1.958150      13.707050      23.497800
  0.000000      11.748900      23.497800
  1.958150      13.707050      23.497800
  3.916300      11.748900      23.497800
  5.874450      13.707050      23.497800
  7.832600      11.748900      23.497800
  9.790750      13.707050      23.497800
 11.748900      11.748900      23.497800
 13.707050      13.707050      23.497800
 15.665200      11.748900      23.497800
 17.623350      13.707050      23.497800
 19.581500      11.748900      23.497800
 21.539650      13.707050      23.497800
 23.497800      11.748900      23.497800
-23.497800      15.665200      23.497800
-21.539650      17.623350      23.497800
-19.581500      15.665200      23.497800
-17.623350      17.623350      23.497800
-15.665200      15.665200      23.497800
-13.707050      17.623350      23.497800
-11.748900      15.665200      23.497800
 -9.790750      17.623350      23.497800
 -7.832600      15.665200      23.497800
 -5.874450      17.623350      23.497800
 -3.916300      15.665200      23.497800
 -1.958150      17.623350      23.497800
  0.000000      15.665200      23.497800
  1.958150      17.623350      23.497800
  3.916300      15.665200      23.497800
  5.874450      17.623350      23.497800
  7.832600      15.665200      23.497800
  9.790750      17.623350      23.497800
 11.748900      15.665200      23.497800
 13.707050      17.623350      23.497800
 15.665200      15.665200      23.497800
 17.623350      17.623350      23.497800
 19.581500      15.665200      23.497800
 21.539650      17.623350      23.497800
 23.497800      15.665200      23.497800
-23.497800      19.581500      23.497800
-21.539650      21.539650      23.497800
-19.581500      19.581500      23.497800
-17.623350      21.539650      23.497800
-15.665200      19.581500      23.497800
-13.707050      21.539650      23.497800
-11.748900      19.581500      23.497800
 -9.790750      21.539650      23.497800
 -7.832600      19.581500      23.497800
 -5.874450      21.539650      23.497800
 -3.916300      19.581500      23.497800
 -1.958150      21.539650      23.497800
  0.000000      19.581500      23.497800
  1.958150      21.539650      23.497800
  3.916300      19.581500      23.497800
  5.874450      21.539650      23.497800
  7.832600      19.581500      23.497800
  9.790750      21.539650      23.497800
 11.748900      19.581500      23.497800
 13.707050      21.539650      23.497800
 15.665200      19.581500      23.497800
 17.623350      21.539650      23.497800
 19.581500      19.581500      23.497800
 21.539650      21.539650      23.497800
 23.497800      19.581500      23.497800
-23.497800      23.497800      23.497800
-19.581500      23.497800      23.497800
-15.665200      23.497800      23.497800
-11.748900      23.497800      23.497800
 -7.832600      23.497800      23.497800
 -3.916300      23.497800      23.497800
  0.000000      23.497800      23.497800
  3.916300      23.497800      23.497800
  7.832600      23.497800      23.497800
 11.748900      23.497800      23.497800
 15.665200      23.497800      23.497800
 19.581500      23.497800      23.497800
 23.497800      23.497800      23.497800
-11.748900     -11.748900      27.414100
 -9.790750      -9.790750      27.414100
 -7.832600     -11.748900      27.414100
 -5.874450      -9.790750      27.414100
 -3.916300     -11.748900      27.414100
 -1.958150      -9.790750      27.414100
  0.000000     -11.748900      27.414100
  1.958150      -9.790750      27.414100
  3.916300     -11.748900      27.414100
  5.874450      -9.790750      27.414100
  7.832600     -11.748900      27.414100
  9.790750      -9.790750      27.414100
 11.748900     -11.748900      27.414100
-11.748900      -7.832600      27.414100
 -9.790750      -5.874450      27.414100
 -7.832600      -7.832600      27.414100
 -5.874450      -5.874450      27.414100
 -3.916300      -7.832600      27.414100
 -1.958150      -5.874450      27.414100
  0.000000      -7.832600      27.414100
  1.958150      -5.874450      27.414100
  3.916300      -7.832600      27.414100
  5.874450      -5.874450      27.414100
  7.832600      -7.832600      27.414100
  9.790750      -5.874450      27.414100
 11.748900      -7.832600      27.414100
-11.748900      -3.916300      27.414100
 -9.790750      -1.958150      27.414100
 -7.832600      -3.916300      27.414100
 -5.874450      -1.958150      27.414100
 -3.916300      -3.916300      27.414100
 -1.958150      -1.958150      27.414100
  0.000000      -3.916300      27.414100
  1.958150      -1.958150      27.414100
  3.916300      -3.916300      27.414100
  5.874450      -1.958150      27.414100
  7.832600      -3.916300      27.414100
  9.790750      -1.958150      27.414100
 11.748900      -3.916300      27.414100
-11.748900       0.000000      27.414100
 -9.790750       1.958150      27.414100
 -7.832600       0.000000      27.414100
 -5.874450       1.958150      27.414100
 -3.916300       0.000000      27.414100
 -1.958150       1.958150      27.414100
  0.000000       0.000000      27.414100
  1.958150       1.958150      27.414100
  3.916300       0.000000      27.414100
  5.874450       1.958150      27.414100
  7.832600       0.000000      27.414100
  9.790750       1.958150      27.414100
 11.748900       0.000000      27.414100
-11.748900       3.916300      27.414100
 -9.790750       5.874450      27.414100
 -7.832600       3.916300      27.414100
 -5.874450       5.874450      27.414100
 -3.916300       3.916300      27.414100
 -1.958150       5.874450      27.414100
  0.000000       3.916300      27.414100
  1.958150       5.874450      27.414100
  3.916300       3.916300      27.414100
  5.874450       5.874450      27.414100
  7.832600       3.916300      27.414100
  9.790750       5.874450      27.414100
 11.748900       3.916300      27.414100
-11.748900       7.832600      27.414100
 -9.790750       9.790750      27.414100
 -7.832600       7.832600      27.414100
 -5.874450       9.790750      27.414100
 -3.916300       7.832600      27.414100
 -1.958150       9.790750      27.414100
  0.000000       7.832600      27.414100
  1.958150       9.790750      27.414100
  3.916300       7.832600      27.414100
  5.874450       9.790750      27.414100
  7.832600       7.832600      27.414100
  9.790750       9.790750      27.414100
 11.748900       7.832600      27.414100
-11.748900      11.748900      27.414100
 -7.832600      11.748900      27.414100
 -3.916300      11.748900      27.414100
  0.000000      11.748900      27.414100
  3.916300      11.748900      27.414100
  7.832600      11.748900      27.414100
 11.748900      11.748900      27.414100
  0.000000       0.000000      31.330400
 -3.916300      -5.874450     -29.372250
  0.000000      -5.874450     -29.372250
  3.916300      -5.874450     -29.372250
 -5.874450      -3.916300     -29.372250
 -3.916300      -1.958150     -29.372250
 -1.958150      -3.916300     -29.372250
  0.000000      -1.958150     -29.372250
  1.958150      -3.916300     -29.372250
  3.916300      -1.958150     -29.372250
  5.874450      -3.916300     -29.372250
 -5.874450       0.000000     -29.372250
 -3.916300       1.958150     -29.372250
 -1.958150       0.000000     -29.372250
  0.000000       1.958150     -29.372250
  1.958150       0.000000     -29.372250
  3.916300       1.958150     -29.372250
  5.874450       0.000000     -29.372250
 -5.874450       3.916300     -29.372250
 -3.916300       5.874450     -29.372250
 -1.958150       3.916300     -29.372250
  0.000000       5.874450     -29.372250
  1.958150       3.916300     -29.372250
  3.916300       5.874450     -29.372250
  5.874450       3.916300     -29.372250
-15.665200     -17.623350     -25.455950
-11.748900     -17.623350     -25.455950
 -7.832600     -17.623350     -25.455950
 -3.916300     -17.623350     -25.455950
  0.000000     -17.623350     -25.455950
  3.916300     -17.623350     -25.455950
  7.832600     -17.623350     -25.455950
